Director,Movie IDs
Walter Hill,"[65796, 35588, 9333, 10384, 11064, 20287, 9604, 505, 11595, 150, 14729, 15070, 12528, 14746, 22004, 11474, 15392, 22094, 2153, 70074, 399173]"
Greg Beeman,"[26258, 13704, 27295, 71887, 28601, 77921, 6980, 126934, 15043]"
Nikita Mikhalkov,"[50797, 51300, 38837, 73100, 44658, 20714, 38361, 38318, 124295, 83446, 47851, 301016]"
Milčo Mančevski,"[19155, 16405, 18178]"
Richard Linklater,"[76, 9571, 28059, 42807, 9081, 23949, 1584, 14022, 80, 3509, 13341, 8324, 83346, 12404, 92591, 132344, 85350, 295699]"
Tamra Davis,"[11017, 19952, 9490, 41282, 17130, 15278, 24065, 51486]"
Guy Ferland,"[37141, 63437, 10677, 16876, 96279]"
Herbert Ross,"[9382, 16384, 14741, 1793, 1788, 10860, 42597, 26686, 39282, 13571, 17450, 12661, 10021, 11610, 16561, 37296, 26331, 42607, 61280, 29578, 42128, 163630, 149026]"
Peter Horton,"[6715, 5709]"
Stuart Gordon,"[18256, 1694, 14510, 101363, 15618, 24341, 10690, 21619, 12088, 10836, 18191, 13848, 47090]"
Pat O'Connor,"[22625, 12723, 129628, 5332, 63639, 1921, 32059, 42084]"
Jeremy Leven,"[1909, 199341]"
Barry Levinson,"[8984, 31643, 819, 10896, 586, 10153, 380, 11597, 11904, 27141, 11393, 801, 13776, 29122, 2302, 3172, 10337, 10710, 9895, 8944, 36950, 56822, 123105, 254023, 253414, 363992]"
René Bonnière,[61813]
Jack Baran,[62488]
Roman Polanski,"[10531, 10497, 829, 805, 11481, 622, 10675, 423, 11482, 11502, 11316, 11121, 3053, 257, 4772, 81522, 11483, 36108, 11439, 72113, 197082, 196253]"
Taylor Hackford,"[11929, 1813, 22160, 42159, 9702, 11983, 2623, 34053, 1677, 16082, 42003, 39845, 119283, 369524]"
Peter Farrelly,"[8467, 11543, 544, 2123, 12610, 9889, 1792, 11431, 9038, 48988, 76489, 87818, 100042]"
Bobby Farrelly,"[8467, 11543, 544, 2123, 12610, 9889, 1792, 11431, 9038, 48988, 76489, 100042]"
Atom Egoyan,"[20156, 10217, 47692, 26964, 16351, 108241, 85556, 83599, 9729, 41796, 8895, 36108, 28211, 152792, 244761, 302528]"
Garry Marshall,"[18395, 114, 38554, 47947, 29968, 18417, 4806, 25010, 3784, 15592, 9880, 4599, 10780, 11130, 13159, 32856, 62838, 353069]"
Tim Burton,"[522, 268, 364, 75, 4011, 162, 2668, 5683, 869, 587, 118, 32085, 3933, 13885, 12155, 62213, 62214, 87093, 82309, 283366, 33914]"
Lawrence Kasdan,"[397, 12160, 13697, 12560, 24071, 14412, 31052, 6171, 3101, 11509, 89325]"
Billy Crystal,"[10525, 54087, 20536]"
Phillip Borsos,"[27985, 13380, 42136, 31652, 281291]"
Kevin Lima,"[15789, 37135, 10481, 4523, 46806, 59191]"
Paul Brizzi,"[15789, 49948, 8868]"
Brett Leonard,"[27303, 9271, 10163, 82623, 18882, 14566, 40448, 13360]"
Carlo Carlei,"[21183, 91745]"
Gérard Corbiau,"[10954, 44947]"
Mark Lewis,"[47867, 54487]"
Art Clokey,[43475]
Charles Burnett,"[72031, 27432, 94725, 191476, 174000]"
Steve James,"[14275, 26306, 51927, 111744, 41850, 72711, 127505, 250766, 288186, 411007]"
Peter Jackson,"[1024, 10779, 763, 9964, 32458, 8216, 120, 121, 122, 254, 7980, 49051, 57158, 122917]"
Randall Miller,"[17207, 36807, 53905, 13996, 15676, 30963, 111479]"
Bernard Rose,"[13701, 9529, 50512, 27450, 41965, 33994, 46934, 191820, 53315, 337029, 228496, 353921]"
Steven Brill,"[14819, 9678, 2022, 10762, 8457, 87818, 187596, 389053, 419700, 177085]"
J. F. Lawton,"[32631, 26369]"
Fred Schepisi,"[11777, 23210, 12145, 41166, 35119, 10170, 14778, 31665, 31459, 18722, 11584, 24749, 69069, 41758, 32122, 98932, 214075]"
Neil Jordan,"[628, 1770, 11386, 22797, 5971, 10002, 28902, 20024, 21362, 11905, 6016, 1420, 4413, 38448, 125769, 102780]"
James Ivory,"[87729, 1245, 41843, 11257, 72987, 26371, 8293, 29946, 49788, 111815, 9499, 40775, 67794, 67022, 18840, 107282, 185156, 48336, 42175, 42819, 73600, 77287, 134738, 109600, 112087, 185154]"
James Melkonian,"[18713, 20860]"
Ivan Reitman,"[6280, 11566, 12499, 10890, 6068, 620, 2978, 14035, 9397, 9493, 9930, 951, 4474, 41630, 200505, 58411]"
Arne Glimcher,"[9061, 40082, 86500]"
Michael Gottlieb,"[37108, 10019, 34564, 19371]"
George Lucas,"[11, 1893, 838, 1894, 636, 1895, 140979]"
Gillian Armstrong,"[9587, 39780, 12660, 31955, 49409, 16659, 13910]"
Alfonso Cuarón,"[19101, 9410, 1391, 673, 9693, 2266, 49971, 49047]"
Ken Loach,"[49980, 38884, 8129, 62463, 37691, 47869, 35824, 1376, 1926, 59058, 1404, 13384, 1116, 7992, 56942, 36108, 2143, 18898, 57251, 59065, 103747, 262958, 23523, 268009, 129455, 374473, 164580]"
Claude Chabrol,"[17961, 185191, 1802, 10305, 2528, 8286, 2527, 10930, 2912, 41975, 60760, 64559, 12713, 27419, 5592, 51808, 72272, 1787, 2363, 5562, 4266, 15576, 42463, 31303, 4790, 4195, 47794, 76207, 2813, 66135, 101183, 72898, 76200, 55035, 3479, 68972, 45515]"
Edward Zwick,"[4476, 10684, 9665, 18169, 9882, 616, 54715, 1372, 13813, 43347, 69266, 245698, 343611]"
James Gray,"[47504, 19457, 2001, 10362, 152599, 314095]"
Glenn Gordon Caron,"[43742, 9413, 14441, 55950]"
Stephen Gyllenhaal,"[28313, 17133, 145066, 54191, 108021, 159937, 96600, 140605, 57012, 108251]"
Nicholas Hytner,"[11318, 20539, 17127, 10560, 8618, 328589]"
James Orr,"[40490, 2612, 44672]"
Nora Ephron,"[24070, 858, 2928, 9489, 10783, 9722, 41776, 24803]"
Richard Benjamin,"[8986, 12121, 40001, 31044, 10466, 4587, 12505, 12120, 32316, 16969, 47359, 60778, 14439, 66668, 66722]"
Les Mayfield,"[10510, 9574, 11001, 10406, 13496, 9074, 14396]"
David Frankel,"[17402, 350, 14306, 73937, 82696, 209361, 345920, 331214]"
Gregory Nava,"[38722, 16052, 46702, 17435, 4351]"
Marc Rocco,"[8438, 15142, 17736]"
Robert Benton,"[11593, 26269, 12102, 13681, 61178, 31591, 12647, 32048, 10922, 42228, 14313]"
Michael Apted,"[1945, 26203, 11306, 20565, 36643, 31563, 10130, 16769, 10491, 1957, 26560, 120683, 26246, 8289, 12395, 20561, 20562, 15771, 24964, 31200, 13365, 51863, 50754, 15163, 20553, 10140, 116167, 82684, 26622, 215134, 27196, 54752, 137984, 43701, 291276]"
Nick Gomez,"[39310, 98499, 25166, 1482, 243568, 95807]"
Tōru Murakawa,[109560]
Vadim Jean,"[56428, 67445, 13541, 11910]"
Albert Pyun,"[63105, 55687, 10134, 13945, 24993, 31397, 68773, 13995, 26103, 31002, 140172, 109466, 47065, 47342, 28790, 50346, 25706, 17135, 243856, 71841, 280495, 88253, 52627, 60173, 107096, 128598, 146926, 38134, 122894, 43913, 41628, 24230]"
Alan Jacobs,"[131957, 62190]"
Norman Jewison,"[9058, 3587, 10633, 912, 26522, 2039, 10400, 24735, 17443, 32855, 14811, 11484, 31918, 45840, 22233, 12545, 4939, 41488, 886, 6463, 24625, 28932, 42990, 105465]"
